"VID_ID","Day","Fish_ID","Sound","Speaker","TrainedWith","DistanceMoved_cm","Velocity","RightDistance_cm","LeftDistance_cm","NotMoving_per","Accel_mean","Accel_max","Accel_sd","TimeToRight_s","InRight_per","TimeToLeft_s","InLeft_per","HeadingToLeft_deg","HeadingToRight_deg"
"243","Day 1","17","Sound","Right","CO2","23350.2","79.9447","84.16","132.81","2.14979","0.190865","4790.32","673.067","1.24998","70.111","0","28.086","144.25","159.077"
"245","Day 1","17","Sound","Left","CO2","3463.55","13.8891","125.584","88.616","1.04167","1.79958","2817.59","89.38","18.5414","26.1806","0","59.5833","-84.616","-91.29"
"19","Day 3","1","Acclimation","Right","Air","5194.31","19.6071","99.497","119.46","0.85322","0.123849","92561.4","2816.51","0","48.3802","24.16","40.2746","-140.056","166.749"
"21","Day 3","1","Acclimation","Left","Air","24026.6","87.3441","153.625","63.1768","0.466604","-0.367966","141565","7822.28","29.16","11.0919","0","82.0824","-131.965","92.7751"
"23","Day 3","1","Acclimation","Right","Air","3833.52","13.9299","96.7888","100.461","2.77296","-0.356638","42545.3","880.391","0","47.2204","102.12","43.1676","67.8661","72.4866"
"25","Day 3","2","Acclimation","Left","Air","4591.03","16.4837","111.985","83.3592","0.479936","-11.7648","11371.1","1115.71","23.24","36.9951","0","56.2592","91.619","87.993"
"27","Day 3","2","Acclimation","Right","Air","1804.51","6.17815","87.305","62.2646","25.2766","-0.0583958","39486","600.748","0","19.4774","60.52","78.0429","70.8678","-33.2301"
"29","Day 3","2","Acclimation","Left","Air","1204.94","4.31261","89.2588","58.5726","34.8487","-0.0414851","4818.25","201.074","43.2","8.13225","0","85.2686","96.977","179.7"
"31","Day 3","3","Acclimation","Right","Air","4743.28","15.8109","156.187","94.0686","0.679909","-0.049895","112313","2426.79","0","31.3958","49.28","68.6042","-86.5522","-107.624"
"33","Day 3","3","Acclimation","Left","Air","24246.6","87.6468","73.7822","140.428","1.10652","-27.5807","161308","10269.9","15.2","81.7758","0","12.2784","49.9826","43.2941"
"35","Day 3","3","Acclimation","Right","Air","7061.81","23.5519","63.2303","176.357","1.10652","-0.482184","153286","5026.95","0","99.7867","21.68","0.213305","104.444","98.344"
"168","Day 3","9","Acclimation","Left","Air","4212.55","15.7727","89.1985","84.6222","0","1.02565","2202.5","180.129","23.958","44.3135","0","43.3426","-122.196","-142.131"
"170","Day 3","9","Acclimation","Right","Air","4143.85","15.242","52.3005","121.074","6.86546","4.91691","2950.71","204.642","0","81.9001","110.623","13.3148","1.0109","43.6969"
"172","Day 3","9","Acclimation","Left","Air","9527.17","41.9552","89.5018","89.5104","16.4355","-1.20205","3955.59","534.492","35.8328","48.1276","0","36.7545","176.539","-113.476"
"174","Day 3","11","Acclimation","Right","Air","3647.88","12.4538","69.2947","125.819","0.0693481","-0.102362","474.325","38.7558","0","74.1331","39.791","24.9653","-79.2041","-36.7163"
"176","Day 3","11","Acclimation","Left","Air","4164.85","16.0575","70.5817","153.017","0.346741","-3.89378","4490.85","214.23","4.99992","78.1553","0","16.5049","-178.649","-141.563"
"178","Day 3","11","Acclimation","Right","Air","3526.68","16.6454","92.833","100.943","2.14979","-4.53762","2035.91","176.006","1.87497","46.3939","21.8746","39.7365","-164.567","157.699"
"180","Day 3","10","Acclimation","Left","Air","3436.15","11.9781","92.3484","119.465","0","-0.057622","165.381","25.9336","45.2076","58.6685","0","37.9334","121.981","138.385"
"182","Day 3","10","Acclimation","Right","Air","3227.32","11.1449","57.6327","169.866","0.0693481","-0.0648787","3062.39","104.249","0","98.2663","138.748","0.0693481","-162.454","-151.046"
"184","Day 3","10","Acclimation","Left","Air","4061.95","14.7486","56.7207","154.691","8.11373","4.55892","3448.33","215.634","23.5413","86.061","0","9.362","118.784","100.39"
"186","Day 3","12","Acclimation","Left","Air","4293.67","15.5782","77.8482","106.335","3.05132","-2.43672","2731.02","182.797","8.95819","56.0333","0","37.1706","-26.3016","90.5629"
"188","Day 3","12","Acclimation","Right","Air","5319.34","19.6561","94.1447","83.3464","0.416089","-0.0293183","3438.81","208.286","0","42.8571","5.20825","51.4563","98.0381","114.136"
"190","Day 3","12","Acclimation","Left","Air","4364.46","17.5901","108.029","61.8929","2.21914","-0.902515","2886.13","210.406","18.5414","24.6879","0","62.2053","136.88","116.959"
"324","Day 3","18","Acclimation","Left","Air","2646.98","8.99839","80.8347","120.812","2.35784","0.0591921","231.983","25.5841","3.12495","68.2386","0","30.3745","97.7814","95.26"
"326","Day 3","18","Acclimation","Right","Air","2487.3","8.83734","61.9684","165.521","2.01669","0.0879753","179.056","30.5137","0","86.6481","271.037","9.24896","72.6592","91.0647"
"328","Day 3","18","Acclimation","Left","Air","1164.65","5.44874","53.2548","118.688","30.6333","0.0561905","293.562","22.3384","16.4581","74.0795","0","7.51105","169.387","129.731"
"330","Day 3","19","Acclimation","Right","Air","2679.38","8.9563","65.3826","146.107","0.138985","-0.0138757","166.115","17.8211","0","91.2439","62.0823","8.5476","-109.175","-112.191"
"332","Day 3","19","Acclimation","Left","Air","2544.8","9.71778","81.6174","135.432","1.66436","0.013177","240.362","31.4659","79.3737","67.337","0","23.7864","125.655","106.331"
"334","Day 3","19","Acclimation","Right","Air","3010.67","10.2347","55.8089","174.828","1.66436","0.00395582","3140.16","108.234","0","99.0985","158.122","0.0693481","91.8905","94.7326"
"336","Day 3","20","Acclimation","Left","Air","6312.7","21.3993","128.565","68.2523","1.24827","-1.65059","1468.72","172.406","30.6245","18.516","0","80.4438","149.618","93.8864"
"338","Day 3","20","Acclimation","Right","Air","7111.64","25.7245","168.838","61.5218","0","-0.967372","4263.86","290.948","0","3.05132","0.62499","92.7878","164.409","132.93"
"340","Day 3","20","Acclimation","Left","Air","5697.3","20.593","167.315","58.9872","0.970874","-0.792508","2314.08","205.78","","0","0","97.3648","138.739","94.6818"
"20","Day 3","1","Sound","Right","Air","5052.3","18.8378","42.8706","132.065","1.13318","9.01764","58870.8","1169.65","0","79.4561","3.24","10.252","75.2047","146.037"
"22","Day 3","1","Sound","Left","Air","4066.98","13.9109","134.055","55.7837","2.69297","-0.0632677","71578.7","2174.86","","0","0","97.5603","112.302","-107.683"
"24","Day 3","1","Sound","Right","Air","3043.93","11.5458","109.196","65.0935","18.6508","-0.0303429","73798.4","2635.35","0","2.69297","9.2","85.1753","24.8128","-77.1665"
"26","Day 3","2","Sound","Left","Air","3579.53","12.4445","140.676","58.0472","5.25263","0.149952","41746.6","743.332","248.6","9.61205","0","86.4285","70.4433","-61.0641"
"28","Day 3","2","Sound","Right","Air","1460.58","4.87121","45.054","125.983","35.6086","-0.105566","7506.54","246.952","0","100","","0","-9.9437","0.843275"
"30","Day 3","2","Sound","Left","Air","1368.03","4.78733","104.84","50.6039","38.6615","-0.0121051","4919.1","204.913","8.68","6.35915","0","89.0015","-178.153","16.9873"
"32","Day 3","3","Sound","Right","Air","45088.8","161.771","81.9475","109.653","12.3317","-36.2208","157645","17325","0","66.1645","2.52","29.7694","160.516","141.545"
"34","Day 3","3","Sound","Left","Air","8457.8","28.1927","141.685","37.6591","0.0266631","-0.407559","75252","3379.44","","0","0","100","100.59","76.4276"
"36","Day 3","3","Sound","Right","Air","2557.4","8.52466","35.6278","124.124","6.2525","-0.0153635","1185.02","124.622","0","100","","0","-64.5721","-9.77004"
"169","Day 3","9","Sound","Left","Air","3630.62","12.4392","106.145","74.5009","1.59833","-0.295028","3678.85","146.843","6.2499","31.7582","0","65.0452","98.1601","114.55"
"171","Day 3","9","Sound","Right","Air","792.862","3.52389","45.6715","120.859","43.828","-0.0579355","119.358","18.5523","0","83.0791","","0","-116.333","-91.9417"
"173","Day 3","9","Sound","Left","Air","1175.26","5.6583","56.9691","107.427","30.1664","3.21041","2901.29","95.2835","8.12487","64.6325","0","11.6505","95.5314","101.713"
"175","Day 3","11","Sound","Right","Air","2537.97","11.4389","40.4966","155.458","4.36893","0.131993","168.789","28.2956","0","83.8419","","0","16.1376","43.8015"
"177","Day 3","11","Sound","Left","Air","2647.97","10.0558","140.889","37.8429","4.29958","0.0413618","164.172","18.547","6.45823","4.71567","0","88.6269","92.9867","108.338"
"179","Day 3","11","Sound","Right","Air","1192.86","5.75459","35.7523","127.107","19.2788","-0.138584","163.637","25.128","0","79.8197","","0","-25.4144","46.2888"
"181","Day 3","10","Sound","Left","Air","3580.24","12.4713","167.098","57.7809","1.46546","-0.0916797","312.177","37.1725","19.3747","4.2568","0","95.1151","-153.152","-164.934"
"183","Day 3","10","Sound","Right","Air","758.012","2.92721","43.6048","144.51","52.78","-0.0447957","129.41","16.1655","0","99.1386","","0","17.4276","39.8655"
"185","Day 3","10","Sound","Left","Air","2947.13","11.0519","141.948","43.5223","2.6038","0.089443","213.851","26.2036","0.41666","0.774103","3.33328","95.5665","94.9501","64.0289"
"187","Day 3","12","Sound","Left","Air","5838.32","20.7281","134.195","43.3132","0.277393","-0.251541","2441.42","88.3131","0","6.44938","6.66656","91.4008","105.234","98.6961"
"189","Day 3","12","Sound","Right","Air","8372.55","29.6816","35.953","142.136","0.138697","-2.42873","3090.79","268.044","0","93.62","3.12495","2.91262","83.002","93.7872"
"191","Day 3","12","Sound","Left","Air","10899","36.8941","126.68","36.5783","0","1.43153","4159.93","394.62","2.49996","1.59501","0","97.9889","104.321","121.242"
"325","Day 3","18","Sound","Left","Air","1919.65","8.02654","142.911","50.6636","6.94445","-0.131776","225.143","23.9299","25.2079","0.277778","0","85.1389","-98.5406","122.809"
"327","Day 3","18","Sound","Right","Air","2299.88","8.5711","90.5587","93.9439","14.7226","0.0150794","245.914","24.0207","127.706","51.9915","0","41.4651","168.781","106.288"
"329","Day 3","18","Sound","Left","Air","2689.32","10.1326","118.883","51.653","12.2053","-0.0881653","1073.28","47.2277","6.2499","9.01526","0","83.7725","-102.032","166.264"
"331","Day 3","19","Sound","Right","Air","2704.76","10.0333","55.7575","166.987","1.7991","0.0197392","204.041","33.2852","0","95.5022","21.458","2.9985","-172.077","134.379"
"333","Day 3","19","Sound","Left","Air","2585.34","9.5755","120.448","50.5702","17.8225","0.824268","2796.78","130.684","11.2498","0.832178","0","93.0652","63.1044","81.1291"
"335","Day 3","19","Sound","Right","Air","1756.15","6.78168","43.3136","114.014","26.6761","-0.00673775","2212.36","81.4225","0","91.1785","161.456","0.0705716","-87.3026","-53.5145"
"337","Day 3","20","Sound","Left","Air","2671.05","10.8287","128.403","50.376","4.36893","-0.108076","265.058","28.748","38.7494","4.78502","0","84.1193","-167.655","175.116"
"339","Day 3","20","Sound","Right","Air","3982.45","15.1594","173.968","60.0854","1.45631","-0.638865","1405.9","133.246","0","0.762829","4.58326","94.6602","-154.546","-157.856"
"341","Day 3","20","Sound","Left","Air","3054.15","12.9851","156.142","49.1313","1.59501","-2.51193","948.377","98.4143","","0","0","86.9626","-124.69","-113.683"
"84","Day 3","4","Acclimation","Right","CO2","2770.58","10.6086","79.7707","99.0963","6.3263","0.140763","427.34","35.0461","2.83329","56.4928","7.33322","31.2986","-89.3387","-81.7252"
"86","Day 3","4","Acclimation","Left","CO2","2950.32","10.5606","71.6302","101.852","4.43828","-2.08674","238.924","81.808","20.208","63.7309","0","29.0569","120.016","106.232"
"88","Day 3","4","Acclimation","Right","CO2","1721.73","5.94137","59.7545","106.787","38.1415","0.00870767","2334.01","82.1595","0","80.0277","41.8743","15.6033","22.7272","120.229"
"90","Day 3","5","Acclimation","Left","CO2","4661.77","16.5509","62.5702","123.111","10.749","-0.253051","2381.58","165.589","1.87497","75.3121","0","18.6546","-48.6102","-110.256"
"92","Day 3","5","Acclimation","Right","CO2","5850.99","20.8967","59.6412","115.227","0.277393","-4.61501","2591.56","252.172","0","77.1151","8.74986","19.0707","-136.742","177.156"
"94","Day 3","5","Acclimation","Left","CO2","13340.8","60.1622","135.579","52.4542","0.748752","2.12658","3205.36","496.688","133.498","13.7271","59.499","64.4759","-145.761","-153.724"
"96","Day 3","6","Acclimation","Right","CO2","4875.29","16.7995","116.055","83.0918","0","0.0730676","1671.63","103.374","0","35.9223","13.3331","62.4133","135.844","108.422"
"98","Day 3","6","Acclimation","Left","CO2","3103.25","11.5921","133.222","55.1024","2.08044","-0.0957853","334.604","34.037","64.1656","10.6796","0","84.9515","-146.722","-148.648"
"100","Day 3","6","Acclimation","Right","CO2","3686.8","12.9269","87.5238","118.17","0.0693481","0.162784","1201.37","53.3771","0","61.5811","88.3319","35.6449","-122.983","152.872"
"102","Day 3","7","Acclimation","Left","CO2","3188.08","10.9074","98.9351","91.8759","2.28849","-1.30988","1036.67","65.165","36.6661","47.4341","0","49.4452","92.1053","107.052"
"104","Day 3","7","Acclimation","Right","CO2","4459.71","15.4118","67.3344","130.398","1.52566","-2.92893","2931.02","227.87","0","76.2829","6.66656","21.6366","55.087","90.2726"
"106","Day 3","7","Acclimation","Left","CO2","3004.85","10.8041","98.0049","95.8533","1.04022","0.945875","1217.79","67.7293","85.832","47.4341","0","48.4743","90.4687","77.3964"
"108","Day 3","8","Acclimation","Right","CO2","3852","13.0486","104.83","106.852","1.45631","-0.0631433","2720.02","108.799","0","50.208","15.6247","47.8502","-73.1305","-68.8532"
"110","Day 3","8","Acclimation","Left","CO2","3750.01","13.2161","112.731","119.881","0.0693481","1.79563","3158.5","159.119","49.9992","49.8613","0","46.6019","-89.1498","-81.1162"
"112","Day 3","8","Acclimation","Right","CO2","3458.4","11.528","79.7473","181.69","87.7415","-2.17236","5649.64","292.901","0.2","5.3964","0.8","9.46036","-177.168","-174.643"
"246","Day 3","13","Acclimation","Right","CO2","4198.14","14.4248","107.579","101.166","0.0693481","-0.133897","381.734","38.2965","0","46.8793","27.2912","51.595","-157.401","136.679"
"248","Day 3","13","Acclimation","Left","CO2","5162.77","17.3177","164.199","57.5875","0","-1.92158","1248.56","107.897","300.204","0.0693481","0","99.792","-175.38","150.272"
"250","Day 3","13","Acclimation","Right","CO2","3261.77","11.2315","71.4026","127.596","0","-0.129435","173.034","20.0229","0","86.7545","241.038","11.8585","-16.6416","-53.4067"
"252","Day 3","14","Acclimation","Left","CO2","4403.6","15.2376","98.0509","91.4715","0.665927","-0.248771","409.875","53.7781","49.1659","44.7836","0","52.5527","-106.114","-128.245"
"254","Day 3","14","Acclimation","Right","CO2","8132.5","30.0652","127.217","87.9698","2.83019","-14.2996","4711.93","391.222","0","31.1876","19.6664","56.1043","-179.699","155.581"
"256","Day 3","14","Acclimation","Left","CO2","4141.05","16.325","79.7004","115.686","0.221976","-1.85169","4040.88","245.606","5.49991","57.1032","0","32.131","167.268","131.94"
"258","Day 3","15","Acclimation","Right","CO2","2673.84","9.00297","122.344","54.7919","3.10766","0.0481164","234.112","23.6736","0","17.7026","4.49993","81.2431","89.6673","120.427"
"260","Day 3","15","Acclimation","Left","CO2","2729.28","9.96102","77.4366","99.342","4.5505","0.144494","3178.36","98.809","44.9993","58.2131","0","35.7381","116.74","115.049"
"262","Day 3","15","Acclimation","Right","CO2","1724.86","5.99265","45.3141","121.256","28.4129","0.05831","1129.13","52.7854","0","82.3529","14.9998","15.3163","72.8255","101.638"
"264","Day 3","16","Acclimation","Left","CO2","4027.23","14.281","146.7","62.911","1.86542","-0.0520333","3081.84","129.05","33.2","13.7242","0","83.4777","115.128","-149.045"
"266","Day 3","16","Acclimation","Right","CO2","14428","50.4123","101.166","114.443","0.40678","-9.30122","5380.2","609.749","0","56.8136","0.4","42.4407","-111.09","-143.28"
"268","Day 3","16","Acclimation","Left","CO2","1982.46","6.66383","176.092","55.6068","3.05768","0.038606","320.802","31.4307","","0","0","99.861","-110.481","-132.583"
"270","Day 3","17","Acclimation","Right","CO2","4779.94","16.2264","117.039","89.8354","1.12469","6.69455","51584","1436.79","0","40.3082","4.62493","57.0119","-98.1124","-128.484"
"272","Day 3","17","Acclimation","Left","CO2","8114.8","29.6165","132.248","92.0049","2.05498","17.0353","73186.3","3142.19","4.4166","33.4074","0","55.679","-73.0638","-76.3037"
"274","Day 3","17","Acclimation","Right","CO2","6107.44","21.8419","58.557","168.806","0.860872","-2.49288","78528.1","2937.38","0","87.8506","4.49993","5.97056","60.323","-69.6274"
"85","Day 3","4","Sound","Right","CO2","1022.54","3.43956","46.8857","117.986","62.4827","-0.0138621","124.129","10.7753","0","99.3065","","0","158.577","151.31"
"87","Day 3","4","Sound","Left","CO2","1619.2","7.11748","98.7193","60.7741","13.2455","-0.23683","1806.24","107.583","3.33328","19.0014","9.16652","56.8655","-47.1642","-155.289"
"89","Day 3","4","Sound","Right","CO2","855.031","3.03118","53.7563","112.712","47.7083","-0.00152589","170.511","11.258","0","83.4722","7.91654","11.25","119.209","110.535"
"91","Day 3","5","Sound","Left","CO2","5456.61","18.6421","101.282","83.3785","7.4896","0.0469831","2201.98","182.557","29.1662","44.1054","0","54.577","26.8879","-101.569"
"93","Day 3","5","Sound","Right","CO2","3116.61","11.0032","56.1804","130.87","31.9468","-0.0418976","2539.27","197.902","2.99995","82.3627","2.49996","13.3111","-15.9935","1.54579"
"95","Day 3","5","Sound","Left","CO2","8218.41","32.6781","135.234","59.6667","4.82529","1.71433","2917.13","295.963","10.9998","11.6473","0","83.777","-116.799","-123.101"
"97","Day 3","6","Sound","Right","CO2","3604.22","13.4009","112.217","89.3864","1.38696","-0.0499621","326.966","37.3732","0","36.3384","17.2914","58.6685","-114.183","-51.9338"
"99","Day 3","6","Sound","Left","CO2","2367.41","8.4426","135.774","50.5829","7.07842","-0.0249085","263.095","21.7266","86.4569","2.63706","0","92.9216","97.0281","158.645"
"101","Day 3","6","Sound","Right","CO2","2739.55","9.49462","48.1018","123.136","26.491","-0.16552","3957.74","195.235","0.41666","97.5728","2.29163","0.277393","-86.3245","-73.0144"
"103","Day 3","7","Sound","Left","CO2","1731.8","6.25962","130.221","75.4606","32.9404","-0.156558","203.651","24.5389","84.9986","24.5492","0","69.0707","-91.4853","-98.346"
"105","Day 3","7","Sound","Right","CO2","649.419","2.26545","125.999","53.2841","69.6255","-0.0544425","135.837","12.5403","0","3.81415","15.8331","93.4119","-77.1548","-9.77809"
"107","Day 3","7","Sound","Left","CO2","1436.89","5.05288","46.4567","126.496","27.8779","-0.0183463","145.982","14.2849","6.2499","94.1054","0","1.10957","48.707","69.5961"
"109","Day 3","8","Sound","Right","CO2","4237.84","15.6356","109.202","102.816","4.29958","-1.87316","3210.1","192.907","0","45.7698","7.08322","47.5728","-81.5634","-81.7297"
"111","Day 3","8","Sound","Left","CO2","3097.4","11.1119","97.3736","123.883","1.59611","-0.314553","400.499","32.1877","24.5829","56.9743","0","39.5559","-77.0005","-76.9793"
"113","Day 3","8","Sound","Right","CO2","4948.22","17.3879","125.568","97.7467","4.37196","0.502507","2779.52","210.055","0","37.5434","10.8332","59.195","-77.1004","-76.0406"
"247","Day 3","13","Sound","Right","CO2","3095.14","10.3101","43.7905","153.44","2.77393","-0.0104044","742.137","32.0682","0","100","","0","31.5861","22.7899"
"249","Day 3","13","Sound","Left","CO2","3131.89","10.6018","140.534","37.7874","1.31761","0.0179513","1340.4","49.2051","","0","0","99.3759","-100.631","-58.7228"
"251","Day 3","13","Sound","Right","CO2","5230.17","17.4949","31.6702","153.983","1.7337","2.1001","4773.78","257.696","0","99.4452","7.29155","0.554785","13.6494","-6.18386"
"253","Day 3","14","Sound","Left","CO2","4049.88","15.4284","95.8907","109.303","1.10988","-0.24525","1541.8","80.4685","30.9995","50.222","0","41.8979","91.3175","141.931"
"255","Day 3","14","Sound","Right","CO2","1453.68","5.4582","44.6141","126.633","31.465","-0.00653724","338.429","25.113","0","91.343","","0","-142.173","-138.344"
"257","Day 3","14","Sound","Left","CO2","6880.56","28.8902","117.769","47.7528","3.21865","-1.38592","3482.71","361.382","21.1663","3.16315","0","78.8013","103.965","104.677"
"259","Day 3","15","Sound","Right","CO2","2362.75","8.61285","47.757","129.308","15.4273","-0.182178","720.973","37.3517","0","82.02","79.6654","11.9312","92.0028","102.374"
"261","Day 3","15","Sound","Left","CO2","1551.38","5.7566","120.816","57.8809","40.2331","-0.0911687","2199.22","71.8144","0","12.3196","1.99997","79.8557","87.295","122.192"
"263","Day 3","15","Sound","Right","CO2","768.986","3.01568","43.2264","120.117","53.4703","-0.0523493","161.302","12.8913","0","86.6741","","0","19.0585","51.7119"
"265","Day 3","16","Sound","Left","CO2","3632.24","12.4562","173.929","59.7893","3.13125","-0.140418","472.955","56.1513","49.8","4.66356","0","94.004","111.434","132.856"
"267","Day 3","16","Sound","Right","CO2","3788.26","13.8597","50.2721","127.068","3.56145","1.309","2041.15","112.014","0","78.8408","1.45831","15.9916","48.4599","65.9994"
"269","Day 3","16","Sound","Left","CO2","2576.6","9.72317","188.475","58.5625","2.23464","-0.170723","272.686","40.6393","","0","0","93.9944","-129.885","-117.378"
"271","Day 3","17","Sound","Right","CO2","7886.31","28.6649","182.298","63.1516","1.73526","-2.04697","21312.9","1765.64","0","4.17324","14.7914","90.621","-166.548","-174.285"
